jobtitle,company,domain,skills,salary,location,experience,posteddate,salary_min,salary_max,experience_level,primary_skill,city
Machine Learning Engineer,Tech Mahindra,Cloud Engineering,"Excel, Tableau, Linux, Kubernetes","₹16,00,000 - ₹25,00,000",Mumbai,Mid,2025-12-13,1600000,2500000,Mid,Excel,Mumbai
Data Engineer,Google,Business Analysis,"Python, Linux, AWS","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-09-02,300000,500000,Senior,Python,Coimbatore
Cloud Architect,Infosys,Cloud Engineering,"Scala, Java, SQL, Linux, Docker","₹6,00,000 - ₹9,00,000",Mumbai,Senior,2025-04-08,600000,900000,Senior,Scala,Mumbai
Data Analyst,Cognizant,Data Science,"Python, AWS, Java, SQL, Tableau","₹3,00,000 - ₹5,00,000",Bangalore,Senior,2025-11-02,300000,500000,Senior,Python,Bangalore
Software Developer,Amazon,Cybersecurity,"Tableau, Spark, Docker","₹16,00,000 - ₹25,00,000",Kolkata,Entry,2025-01-01,1600000,2500000,Entry,Tableau,Kolkata
AI Engineer,Amazon,Cloud Engineering,"C++, AWS, Excel, Python, Power BI, Scala","₹10,00,000 - ₹15,00,000",Delhi,Entry,2025-05-19,1000000,1500000,Entry,C++,Delhi
Web Developer,Accenture,Business Analysis,"Java, Docker, SQL, Kubernetes, Tableau","₹6,00,000 - ₹9,00,000",Mumbai,Senior,2025-01-17,600000,900000,Senior,Java,Mumbai
Cloud Architect,TCS,Machine Learning,"Scala, Java, AWS, Docker, TensorFlow","₹10,00,000 - ₹15,00,000",Kolkata,Entry,2025-09-16,1000000,1500000,Entry,Scala,Kolkata
Security Analyst,Accenture,Web Development,"Docker, Excel, Power BI, Python","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-07-20,1000000,1500000,Senior,Docker,Mumbai
Cloud Architect,Tech Mahindra,AI Research,"Tableau, TensorFlow, Scala","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-12-05,1000000,1500000,Senior,Tableau,Pune
Cloud Architect,Infosys,Cloud Engineering,"Python, Power BI, Tableau, SQL","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-12-20,1600000,2500000,Mid,Python,Delhi
AI Engineer,HCL,Business Analysis,"React, Tableau, Java, Docker","₹16,00,000 - ₹25,00,000",Kolkata,Entry,2025-08-01,1600000,2500000,Entry,React,Kolkata
Software Developer,Tech Mahindra,Cloud Engineering,"Linux, React, C++, Kubernetes, Docker","₹3,00,000 - ₹5,00,000",Hyderabad,Entry,2025-08-14,300000,500000,Entry,Linux,Hyderabad
Data Engineer,Amazon,Cybersecurity,"C++, Java, React, Python, Linux, SQL","₹10,00,000 - ₹15,00,000",Delhi,Senior,2025-11-19,1000000,1500000,Senior,C++,Delhi
Business Analyst,HCL,AI Research,"Python, Linux, AWS, SQL","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-01-26,1000000,1500000,Senior,Python,Chennai
Business Analyst,Tech Mahindra,Cloud Engineering,"Excel, Scala, SQL, React, Power BI","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-08-17,600000,900000,Entry,Excel,Hyderabad
Data Engineer,Accenture,Web Development,"Linux, Java, Tableau","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-05-14,300000,500000,Mid,Linux,Hyderabad
Software Developer,TCS,Software Development,"Scala, Kubernetes, SQL","₹6,00,000 - ₹9,00,000",Hyderabad,Mid,2025-04-03,600000,900000,Mid,Scala,Hyderabad
Web Developer,Amazon,AI Research,"Excel, Spark, Kubernetes","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-02-23,1000000,1500000,Senior,Excel,Mumbai
Cloud Architect,HCL,AI Research,"Python, React, Spark, Java, Power BI","₹16,00,000 - ₹25,00,000",Bangalore,Mid,2025-09-27,1600000,2500000,Mid,Python,Bangalore
Business Analyst,Wipro,Software Development,"Kubernetes, Docker, Tableau, C++","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-02-27,300000,500000,Senior,Kubernetes,Chennai
Security Analyst,Amazon,Web Development,"Power BI, Spark, Kubernetes, C++, Python","₹10,00,000 - ₹15,00,000",Mumbai,Entry,2025-08-06,1000000,1500000,Entry,Power BI,Mumbai
Web Developer,TCS,Machine Learning,"SQL, Kubernetes, Excel","₹3,00,000 - ₹5,00,000",Chennai,Mid,2025-12-15,300000,500000,Mid,SQL,Chennai
Machine Learning Engineer,Wipro,Machine Learning,"AWS, TensorFlow, React, Kubernetes, SQL, Scala","₹16,00,000 - ₹25,00,000",Coimbatore,Senior,2025-09-19,1600000,2500000,Senior,AWS,Coimbatore
DevOps Engineer,TCS,Cybersecurity,"Scala, Python, C++, Tableau, Excel","₹3,00,000 - ₹5,00,000",Coimbatore,Entry,2025-06-21,300000,500000,Entry,Scala,Coimbatore
Data Analyst,Google,Data Science,"Power BI, AWS, Scala, Java, Tableau, Docker","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-03-03,1600000,2500000,Mid,Power BI,Delhi
Cloud Architect,Microsoft,Data Science,"Python, Tableau, Spark, Linux","₹6,00,000 - ₹9,00,000",Kolkata,Senior,2025-05-21,600000,900000,Senior,Python,Kolkata
Machine Learning Engineer,Wipro,Data Science,"AWS, Python, SQL, Power BI, Excel","₹3,00,000 - ₹5,00,000",Coimbatore,Mid,2025-07-11,300000,500000,Mid,AWS,Coimbatore
Security Analyst,Cognizant,Software Development,"SQL, Tableau, Docker","₹10,00,000 - ₹15,00,000",Hyderabad,Mid,2025-06-23,1000000,1500000,Mid,SQL,Hyderabad
Web Developer,Cognizant,AI Research,"TensorFlow, C++, Linux, Tableau, Spark","₹10,00,000 - ₹15,00,000",Pune,Entry,2025-05-23,1000000,1500000,Entry,TensorFlow,Pune
Web Developer,Wipro,Cloud Engineering,"Spark, Tableau, Excel, AWS, Java, TensorFlow","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-04-17,1600000,2500000,Entry,Spark,Hyderabad
DevOps Engineer,Cognizant,Web Development,"Docker, TensorFlow, Java, React","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-08-22,1000000,1500000,Senior,Docker,Pune
Software Developer,TCS,AI Research,"C++, SQL, TensorFlow, Spark, React","₹10,00,000 - ₹15,00,000",Coimbatore,Mid,2025-06-08,1000000,1500000,Mid,C++,Coimbatore
AI Engineer,Tech Mahindra,Cybersecurity,"Spark, Docker, SQL, React","₹6,00,000 - ₹9,00,000",Kolkata,Entry,2025-12-15,600000,900000,Entry,Spark,Kolkata
Data Engineer,Amazon,Cloud Engineering,"AWS, Python, Tableau, SQL, Spark, Scala","₹16,00,000 - ₹25,00,000",Bangalore,Senior,2025-07-17,1600000,2500000,Senior,AWS,Bangalore
Data Engineer,Google,Machine Learning,"SQL, Scala, Kubernetes, React","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-10-01,300000,500000,Senior,SQL,Chennai
Cloud Architect,TCS,Machine Learning,"Scala, Docker, Java, SQL","₹10,00,000 - ₹15,00,000",Kolkata,Entry,2025-11-13,1000000,1500000,Entry,Scala,Kolkata
AI Engineer,TCS,Web Development,"SQL, Power BI, C++, Kubernetes, Spark","₹3,00,000 - ₹5,00,000",Mumbai,Senior,2025-05-22,300000,500000,Senior,SQL,Mumbai
DevOps Engineer,Google,Cybersecurity,"Docker, Tableau, Spark, TensorFlow","₹10,00,000 - ₹15,00,000",Coimbatore,Senior,2025-06-19,1000000,1500000,Senior,Docker,Coimbatore
Business Analyst,Accenture,AI Research,"Spark, Tableau, Docker","₹3,00,000 - ₹5,00,000",Delhi,Entry,2025-10-26,300000,500000,Entry,Spark,Delhi
Cloud Architect,Google,Web Development,"React, Scala, C++, AWS, Java","₹10,00,000 - ₹15,00,000",Mumbai,Entry,2025-01-28,1000000,1500000,Entry,React,Mumbai
Software Developer,Google,Business Analysis,"Scala, Tableau, Power BI","₹16,00,000 - ₹25,00,000",Pune,Mid,2025-02-20,1600000,2500000,Mid,Scala,Pune
Data Analyst,Tech Mahindra,Cybersecurity,"SQL, Scala, Java","₹6,00,000 - ₹9,00,000",Coimbatore,Entry,2025-08-10,600000,900000,Entry,SQL,Coimbatore
Web Developer,Wipro,AI Research,"Docker, Tableau, Power BI, C++, React","₹16,00,000 - ₹25,00,000",Pune,Entry,2025-02-23,1600000,2500000,Entry,Docker,Pune
AI Engineer,Google,Cybersecurity,"C++, React, TensorFlow, Kubernetes, Docker, Tableau","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-03-02,600000,900000,Entry,C++,Bangalore
Machine Learning Engineer,Cognizant,Cybersecurity,"Scala, Excel, AWS","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-02-28,600000,900000,Entry,Scala,Bangalore
Business Analyst,Microsoft,Cybersecurity,"React, C++, Tableau, Excel, Java","₹6,00,000 - ₹9,00,000",Mumbai,Entry,2025-11-07,600000,900000,Entry,React,Mumbai
AI Engineer,Wipro,AI Research,"Tableau, Kubernetes, C++, Scala, Java, Power BI","₹10,00,000 - ₹15,00,000",Mumbai,Mid,2025-12-18,1000000,1500000,Mid,Tableau,Mumbai
AI Engineer,Google,Data Science,"Excel, Tableau, React","₹3,00,000 - ₹5,00,000",Chennai,Entry,2025-08-18,300000,500000,Entry,Excel,Chennai
Software Developer,HCL,Web Development,"Python, TensorFlow, Kubernetes, Linux, Docker, React","₹3,00,000 - ₹5,00,000",Coimbatore,Entry,2025-04-20,300000,500000,Entry,Python,Coimbatore
Software Developer,Cognizant,Business Analysis,"TensorFlow, Power BI, Python, Excel, Linux, Scala","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-06-28,1600000,2500000,Entry,TensorFlow,Hyderabad
AI Engineer,Amazon,Cloud Engineering,"Spark, Excel, C++, SQL","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-07-05,1600000,2500000,Senior,Spark,Chennai
DevOps Engineer,Google,Business Analysis,"TensorFlow, Excel, Docker","₹3,00,000 - ₹5,00,000",Bangalore,Senior,2025-12-06,300000,500000,Senior,TensorFlow,Bangalore
Business Analyst,Amazon,Software Development,"TensorFlow, SQL, AWS, Kubernetes, Java","₹16,00,000 - ₹25,00,000",Bangalore,Entry,2025-05-25,1600000,2500000,Entry,TensorFlow,Bangalore
DevOps Engineer,Wipro,Cloud Engineering,"C++, AWS, Power BI, Scala","₹10,00,000 - ₹15,00,000",Hyderabad,Senior,2025-07-04,1000000,1500000,Senior,C++,Hyderabad
Cloud Architect,Tech Mahindra,Web Development,"Python, Linux, TensorFlow","₹10,00,000 - ₹15,00,000",Coimbatore,Mid,2025-12-08,1000000,1500000,Mid,Python,Coimbatore
Business Analyst,Infosys,Cloud Engineering,"Excel, Linux, Spark, SQL, Power BI, Docker","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-02-26,1000000,1500000,Senior,Excel,Mumbai
Machine Learning Engineer,Wipro,Software Development,"Power BI, AWS, Python","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-04-18,1000000,1500000,Senior,Power BI,Pune
Security Analyst,Microsoft,Software Development,"Python, Power BI, SQL","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-06-12,1600000,2500000,Senior,Python,Chennai
Security Analyst,TCS,Cloud Engineering,"React, Java, AWS","₹3,00,000 - ₹5,00,000",Pune,Entry,2025-10-01,300000,500000,Entry,React,Pune
DevOps Engineer,Infosys,Web Development,"Python, SQL, React, Docker, TensorFlow, Tableau","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-08-03,1000000,1500000,Senior,Python,Chennai
Software Developer,Microsoft,Machine Learning,"Kubernetes, Java, C++, Docker","₹6,00,000 - ₹9,00,000",Pune,Mid,2025-06-04,600000,900000,Mid,Kubernetes,Pune
Data Analyst,Google,Cloud Engineering,"AWS, Scala, Linux, Spark, Python, Docker","₹16,00,000 - ₹25,00,000",Coimbatore,Senior,2025-02-11,1600000,2500000,Senior,AWS,Coimbatore
Business Analyst,Accenture,Software Development,"Power BI, Python, Spark, Java, C++","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-02-21,600000,900000,Senior,Power BI,Coimbatore
Business Analyst,Infosys,Business Analysis,"AWS, C++, Java, Docker, Tableau","₹3,00,000 - ₹5,00,000",Kolkata,Entry,2025-05-06,300000,500000,Entry,AWS,Kolkata
Data Engineer,Wipro,Web Development,"C++, Linux, React, Java, SQL","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-05-12,300000,500000,Mid,C++,Hyderabad
AI Engineer,Microsoft,Software Development,"Spark, C++, Java","₹6,00,000 - ₹9,00,000",Hyderabad,Mid,2025-09-10,600000,900000,Mid,Spark,Hyderabad
Data Analyst,Cognizant,Web Development,"Docker, Java, Kubernetes, Power BI, Linux","₹3,00,000 - ₹5,00,000",Chennai,Entry,2025-09-07,300000,500000,Entry,Docker,Chennai
Software Developer,Cognizant,Cybersecurity,"Spark, C++, Scala, Docker, SQL, Tableau","₹10,00,000 - ₹15,00,000",Bangalore,Senior,2025-02-07,1000000,1500000,Senior,Spark,Bangalore
Data Engineer,Amazon,AI Research,"Linux, Excel, Java","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-06-18,1600000,2500000,Mid,Linux,Kolkata
AI Engineer,Amazon,Machine Learning,"TensorFlow, Python, Excel, Power BI, SQL","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-12-19,300000,500000,Senior,TensorFlow,Chennai
DevOps Engineer,Accenture,Data Science,"AWS, Spark, Power BI","₹10,00,000 - ₹15,00,000",Hyderabad,Entry,2025-06-17,1000000,1500000,Entry,AWS,Hyderabad
AI Engineer,Wipro,Web Development,"Tableau, Linux, Power BI, SQL, Spark, AWS","₹10,00,000 - ₹15,00,000",Delhi,Senior,2025-07-23,1000000,1500000,Senior,Tableau,Delhi
Software Developer,HCL,AI Research,"Scala, Tableau, React, Java","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-01-24,300000,500000,Senior,Scala,Chennai
Software Developer,Google,Data Science,"React, Java, Excel, Spark, Linux","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-06-22,600000,900000,Entry,React,Hyderabad
Business Analyst,Google,Business Analysis,"React, Python, C++, TensorFlow, Kubernetes, Linux","₹6,00,000 - ₹9,00,000",Coimbatore,Mid,2025-04-16,600000,900000,Mid,React,Coimbatore
Business Analyst,Accenture,Machine Learning,"C++, Scala, Docker, TensorFlow, Tableau, AWS","₹6,00,000 - ₹9,00,000",Pune,Mid,2025-03-15,600000,900000,Mid,C++,Pune
Security Analyst,Accenture,Software Development,"TensorFlow, Kubernetes, Java","₹3,00,000 - ₹5,00,000",Mumbai,Senior,2025-04-25,300000,500000,Senior,TensorFlow,Mumbai
Web Developer,Microsoft,Web Development,"Kubernetes, Linux, AWS, Excel, TensorFlow, Python","₹6,00,000 - ₹9,00,000",Chennai,Senior,2025-12-22,600000,900000,Senior,Kubernetes,Chennai
Security Analyst,Microsoft,Business Analysis,"AWS, Linux, Tableau","₹3,00,000 - ₹5,00,000",Delhi,Senior,2025-12-06,300000,500000,Senior,AWS,Delhi
Business Analyst,Google,Web Development,"React, AWS, Tableau, Java, Excel, Scala","₹16,00,000 - ₹25,00,000",Mumbai,Senior,2025-10-26,1600000,2500000,Senior,React,Mumbai
Software Developer,Microsoft,AI Research,"Spark, Tableau, AWS, Scala","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-01-25,300000,500000,Senior,Spark,Coimbatore
Data Analyst,Cognizant,Data Science,"Excel, Power BI, SQL, React, Docker","₹6,00,000 - ₹9,00,000",Delhi,Entry,2025-11-17,600000,900000,Entry,Excel,Delhi
Software Developer,Microsoft,Cloud Engineering,"SQL, Kubernetes, Java, React, Python, Power BI","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-06-26,600000,900000,Entry,SQL,Bangalore
Business Analyst,Cognizant,Cloud Engineering,"Linux, Scala, C++","₹10,00,000 - ₹15,00,000",Coimbatore,Mid,2025-02-26,1000000,1500000,Mid,Linux,Coimbatore
Business Analyst,Microsoft,AI Research,"Spark, Java, Docker, Python, AWS, Kubernetes","₹10,00,000 - ₹15,00,000",Delhi,Entry,2025-02-09,1000000,1500000,Entry,Spark,Delhi
Security Analyst,Cognizant,Data Science,"Java, AWS, Spark, C++","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-11-27,1000000,1500000,Mid,Java,Pune
AI Engineer,TCS,Software Development,"AWS, Linux, Scala, Power BI","₹16,00,000 - ₹25,00,000",Mumbai,Senior,2025-02-17,1600000,2500000,Senior,AWS,Mumbai
Security Analyst,Wipro,AI Research,"React, AWS, Docker","₹16,00,000 - ₹25,00,000",Coimbatore,Mid,2025-07-02,1600000,2500000,Mid,React,Coimbatore
Security Analyst,Infosys,Machine Learning,"SQL, Scala, AWS, Power BI","₹16,00,000 - ₹25,00,000",Coimbatore,Senior,2025-11-04,1600000,2500000,Senior,SQL,Coimbatore
Security Analyst,Google,Cloud Engineering,"C++, Excel, Docker","₹3,00,000 - ₹5,00,000",Mumbai,Mid,2025-10-21,300000,500000,Mid,C++,Mumbai
Data Analyst,Wipro,Cybersecurity,"AWS, Kubernetes, Excel, Python, Linux, TensorFlow","₹10,00,000 - ₹15,00,000",Coimbatore,Senior,2025-03-13,1000000,1500000,Senior,AWS,Coimbatore
Security Analyst,Wipro,Software Development,"Excel, Spark, Scala, C++, Kubernetes, Tableau","₹6,00,000 - ₹9,00,000",Chennai,Entry,2025-04-01,600000,900000,Entry,Excel,Chennai
Software Developer,TCS,Machine Learning,"Java, Tableau, Kubernetes","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-04-13,1000000,1500000,Senior,Java,Mumbai
Business Analyst,HCL,AI Research,"Spark, Excel, SQL, C++, Kubernetes","₹3,00,000 - ₹5,00,000",Mumbai,Entry,2025-08-09,300000,500000,Entry,Spark,Mumbai
Cloud Architect,Cognizant,Software Development,"C++, Tableau, Spark, Linux","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-10-25,300000,500000,Senior,C++,Kolkata
Machine Learning Engineer,Cognizant,Business Analysis,"Linux, SQL, Spark","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-03-13,300000,500000,Mid,Linux,Hyderabad
DevOps Engineer,Google,AI Research,"AWS, Python, Linux, Kubernetes, Spark","₹6,00,000 - ₹9,00,000",Mumbai,Mid,2025-02-04,600000,900000,Mid,AWS,Mumbai
Security Analyst,Wipro,AI Research,"Linux, Spark, Tableau, Python, Docker","₹3,00,000 - ₹5,00,000",Hyderabad,Senior,2025-03-17,300000,500000,Senior,Linux,Hyderabad
Data Engineer,Amazon,Cybersecurity,"Linux, SQL, Excel, C++, Docker, React","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-05-21,1000000,1500000,Mid,Linux,Pune
Data Engineer,Wipro,Web Development,"Java, Spark, Power BI, Python, Kubernetes","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-10-24,600000,900000,Mid,Java,Delhi
AI Engineer,Tech Mahindra,Software Development,"React, Python, Spark","₹6,00,000 - ₹9,00,000",Coimbatore,Entry,2025-09-23,600000,900000,Entry,React,Coimbatore
Data Engineer,Amazon,AI Research,"Spark, Linux, AWS, Kubernetes, Java","₹3,00,000 - ₹5,00,000",Kolkata,Mid,2025-09-12,300000,500000,Mid,Spark,Kolkata
Data Analyst,Amazon,Machine Learning,"React, Power BI, Excel","₹16,00,000 - ₹25,00,000",Pune,Mid,2025-08-27,1600000,2500000,Mid,React,Pune
Web Developer,Accenture,Web Development,"Java, Python, TensorFlow, Tableau, C++, Kubernetes","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-06-12,600000,900000,Mid,Java,Bangalore
Machine Learning Engineer,Tech Mahindra,Business Analysis,"AWS, Excel, SQL, C++, Python","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-09-03,1000000,1500000,Mid,AWS,Pune
Data Engineer,HCL,Cloud Engineering,"Docker, AWS, Java, Power BI","₹16,00,000 - ₹25,00,000",Hyderabad,Senior,2025-10-12,1600000,2500000,Senior,Docker,Hyderabad
Cloud Architect,Cognizant,Cloud Engineering,"TensorFlow, C++, Scala, Python, Docker, Excel","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-12-05,1600000,2500000,Mid,TensorFlow,Delhi
AI Engineer,Tech Mahindra,Software Development,"Excel, C++, Power BI, Java, AWS, Linux","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-04-10,1000000,1500000,Senior,Excel,Pune
Data Analyst,TCS,Cybersecurity,"Tableau, React, SQL, Linux, AWS","₹10,00,000 - ₹15,00,000",Pune,Entry,2025-01-21,1000000,1500000,Entry,Tableau,Pune
Software Developer,TCS,Data Science,"Docker, Spark, TensorFlow","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-03-23,1600000,2500000,Mid,Docker,Kolkata
AI Engineer,Cognizant,Software Development,"C++, SQL, Excel, Kubernetes","₹10,00,000 - ₹15,00,000",Hyderabad,Mid,2025-08-28,1000000,1500000,Mid,C++,Hyderabad
Data Engineer,Infosys,Cybersecurity,"Excel, TensorFlow, Spark, Python, Kubernetes, Linux","₹16,00,000 - ₹25,00,000",Bangalore,Entry,2025-02-01,1600000,2500000,Entry,Excel,Bangalore
DevOps Engineer,Infosys,Business Analysis,"TensorFlow, React, Spark","₹6,00,000 - ₹9,00,000",Chennai,Mid,2025-10-14,600000,900000,Mid,TensorFlow,Chennai
DevOps Engineer,Wipro,Software Development,"Linux, Docker, C++","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-09-03,1000000,1500000,Senior,Linux,Chennai
Cloud Architect,HCL,Web Development,"Power BI, Tableau, Scala, Java","₹16,00,000 - ₹25,00,000",Pune,Entry,2025-10-05,1600000,2500000,Entry,Power BI,Pune
Web Developer,Accenture,Data Science,"Tableau, Linux, C++","₹3,00,000 - ₹5,00,000",Pune,Senior,2025-06-28,300000,500000,Senior,Tableau,Pune
Data Engineer,Accenture,Data Science,"Docker, Power BI, Spark, C++, React, Excel","₹16,00,000 - ₹25,00,000",Kolkata,Senior,2025-06-04,1600000,2500000,Senior,Docker,Kolkata
DevOps Engineer,Microsoft,Business Analysis,"Java, Kubernetes, Tableau, TensorFlow","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-10-23,300000,500000,Senior,Java,Kolkata
Data Analyst,Amazon,Machine Learning,"Power BI, C++, React","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-05-05,1000000,1500000,Senior,Power BI,Mumbai
Security Analyst,Cognizant,Data Science,"Java, Linux, Power BI","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-03-16,600000,900000,Senior,Java,Coimbatore
Security Analyst,Microsoft,Web Development,"Excel, React, Python, C++, Scala","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-06-18,600000,900000,Mid,Excel,Delhi
Data Engineer,Microsoft,Cybersecurity,"Tableau, Python, Docker, Excel","₹6,00,000 - ₹9,00,000",Mumbai,Senior,2025-07-23,600000,900000,Senior,Tableau,Mumbai
Data Analyst,Amazon,Cybersecurity,"AWS, React, Kubernetes, Docker, Tableau, Excel","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-08-20,600000,900000,Entry,AWS,Hyderabad
Machine Learning Engineer,Infosys,Software Development,"Excel, React, Python, Kubernetes, Scala","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-01-06,300000,500000,Senior,Excel,Coimbatore
